user_name,n_targets_total,n_m,n_w,B_i,node_type_3class,user_type_raw,verify_typ,verify_typ_known
清尘之巅,1,0,1,0.0,ordinary,public,无认证,True
海边兜风的小猪,1,0,1,0.0,ordinary,public,无认证,True
润润盆栽,1,0,1,0.0,ordinary,public,无认证,True
清新种花兔0,1,1,0,0.0,ordinary,public,无认证,True
深圳房产王天祥,1,0,1,0.0,ordinary,public,无认证,True
润土RHT,1,1,0,0.0,ordinary,public,无认证,True
海豚小宝_宝,2,0,1,0.0,ordinary,public,没有认证,True
深圳市民王先生接受采访时说道,2,1,0,0.0,ordinary,public,无认证,True
深圳市敖翔实业发展公司,1,1,0,0.0,ordinary,other,蓝V认证,True
深圳市卓贝科技有限公司byo,1,0,1,0.0,ordinary,public,无认证,True
清書止水,1,1,0,0.0,ordinary,public,无认证,True
清新小蜡笔jxx,1,0,1,0.0,ordinary,public,无认证,True
火龙果遇见橙子,1,1,0,0.0,ordinary,other,蓝V认证,True
灬凉城丶丶甲洞,1,1,0,0.0,ordinary,public,无认证,True
灬氵-,2,1,0,0.0,ordinary,public,没有认证,True
灯辉西渡刘露,4,0,1,0.0,wemedia,wemedia,黄V认证,True
灰大Miu,1,1,0,0.0,ordinary,public,红V认证,True
灰灰是蓝猫,3,0,1,0.0,wemedia,wemedia,黄V认证,True
灰色权力201405,1,1,0,0.0,ordinary,public,无认证,True
灵光富足幸运竹,1,0,1,0.0,ordinary,public,无认证,True
灵动童喵,1,0,1,0.0,ordinary,public,无认证,True
灵台县检察院,1,1,0,0.0,ordinary,other,蓝V认证,True
灵和魂魄化为乌有,1,1,0,0.0,ordinary,public,无认证,True
灵杰Alx,1,0,1,0.0,ordinary,public,无认证,True
灵歌梦语,1,0,1,0.0,ordinary,public,无认证,True
湘里妹子-,1,1,0,0.0,wemedia,wemedia,黄V认证,True
灵灵的成长岁月,1,0,1,0.0,ordinary,public,无认证,True
灵素问-w,1,1,0,0.0,ordinary,public,无认证,True
灵芝人参枸杞,1,1,0,0.0,ordinary,public,没有认证,True
灵魂导师好吖,1,0,1,0.0,ordinary,public,无认证,True
灼眼的摸鱼王,1,1,0,0.0,ordinary,public,无认证,True
灿灵蓉,3,1,0,0.0,ordinary,public,无认证,True
灿烂地奔跑,1,0,1,0.0,ordinary,public,无认证,True
灿烂星空2019,1,0,1,0.0,ordinary,public,无认证,True
灿若流樱Kristy,1,0,1,0.0,ordinary,public,没有认证,True
炎系女要考考考,1,0,1,0.0,ordinary,public,无认证,True
炜生素b3,1,0,1,0.0,ordinary,public,无认证,True
炫丽bobo,1,0,1,0.0,ordinary,public,无认证,True
炮炮燃燃老干妈,1,0,1,0.0,ordinary,public,无认证,True
灵溪问禅,1,0,1,0.0,ordinary,public,无认证,True
澜-东京相遇,1,0,1,0.0,ordinary,public,无认证,True
澜庭·Lisa,1,0,1,0.0,ordinary,public,无认证,True
澜澜要开心,1,0,1,0.0,ordinary,public,无认证,True
澜雨澜雨,3,0,1,0.0,ordinary,public,无认证,True
澜飜腾起,1,0,1,0.0,ordinary,public,无认证,True
澳宝天琪,1,0,1,0.0,ordinary,public,无认证,True
濟祥宇,1,0,1,0.0,ordinary,public,无认证,True
濯濯清流,1,1,0,0.0,ordinary,public,无认证,True
濯蓮Ruo,1,1,0,0.0,ordinary,public,无认证,True
瀚海个毛线,1,0,1,0.0,ordinary,public,无认证,True
火中最冰的雪,1,0,1,0.0,ordinary,public,无认证,True
火之宋江,1,0,1,0.0,ordinary,public,没有认证,True
火山变温泉,1,0,1,0.0,ordinary,public,无认证,True
火锅家有五只鱼,1,1,0,0.0,ordinary,public,无认证,True
火星人ZHENMAFAN,1,1,0,0.0,ordinary,public,没有认证,True
火星夜晚之声,2,1,0,0.0,ordinary,public,无认证,True
火星来人是假的,1,1,0,0.0,ordinary,public,无认证,True
火柴1022_144,1,0,1,0.0,ordinary,public,无认证,True
火柴ww,2,0,1,0.0,ordinary,public,无认证,True
火火又红红,1,1,0,0.0,ordinary,public,没有认证,True
火火木gg,1,0,1,0.0,ordinary,public,无认证,True
火火火橘子,1,0,1,0.0,ordinary,public,无认证,True
火火火火6666,7,0,1,0.0,ordinary,public,无认证,True
火焰山上的冰水,1,0,1,0.0,ordinary,public,无认证,True
火箭队阿乐,1,0,1,0.0,ordinary,public,无认证,True
火腿肠火,1,0,1,0.0,ordinary,public,无认证,True
火锅可乐巧克力,1,0,1,0.0,wemedia,wemedia,黄V认证,True
火星2089,1,0,1,0.0,ordinary,public,无认证,True
热干面塑料袋,15,1,0,0.0,ordinary,public,没有认证,True
热心市民小马同学,1,0,1,0.0,ordinary,public,无认证,True
