user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
我是希尔瑞思,2022-12-11 09:08:00,2022-12-11 09:14:00,M->M,M,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-11 09:14:00,2022-12-11 10:58:00,M->M,M,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-11 10:58:00,2022-12-15 15:44:00,M->H,H,0.0,,2,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-12-15 15:44:00,2023-01-02 16:41:00,H->H,H,0.14285714285714285,,7,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-02 16:41:00,2023-01-03 16:24:00,H->H,H,0.65,,5,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-03 16:24:00,2023-01-04 00:17:00,H->M,M,0.35416666666666663,,4,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-04 00:17:00,2023-01-04 09:26:00,M->H,H,0.5,,2,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-04 09:26:00,2023-01-04 22:40:00,H->M,M,0.5,,2,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-04 22:40:00,2023-01-05 11:13:00,M->M,M,0.5,,2,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-05 11:13:00,2023-01-07 14:52:00,M->H,H,0.0,,4,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-07 14:52:00,2023-01-07 15:22:00,H->M,M,0.0,,1,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-07 15:22:00,2023-01-08 10:47:00,M->M,M,0.0,,1,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-08 10:47:00,2023-01-09 22:41:00,M->H,H,0.0,,1,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-09 22:41:00,2023-01-13 09:57:00,H->M,M,0.5,,2,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-13 09:57:00,2023-01-14 15:55:00,M->M,M,0.0,,3,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-14 15:55:00,2023-01-15 22:23:00,M->H,H,,,0,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2023-01-15 22:23:00,2023-01-16 10:35:00,H->H,H,0.0,,1,0,2023Q1,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
星弧权益,2022-12-01 23:25:00,2022-12-15 23:41:00,M->M,M,,0.0,0,1,2022Q4,3,8,3,-1.3563828671259788,-1.339025997414623,-1.3960581170320403
星弧权益,2022-12-15 23:41:00,2023-02-09 23:01:00,M->M,M,,0.0,0,1,2023Q1,3,8,3,-1.3563828671259788,-1.339025997414623,-1.3960581170320403
核聚变ju,2023-02-05 20:05:00,2023-02-19 09:59:00,M->H,H,1.0,,1,0,2023Q1,3,24,2,-0.8403610316289711,-1.4110995023533248,-1.3960581170320403
核聚变ju,2023-02-19 09:59:00,2023-02-19 11:20:00,H->M,M,,,0,0,2023Q1,3,24,2,-0.8403610316289711,-1.4110995023533248,-1.3960581170320403
溧阳人在珀斯,2022-11-24 23:21:00,2022-11-26 16:49:00,M->M,M,,,0,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-11-26 16:49:00,2022-12-02 22:03:00,M->H,H,,,0,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-02 22:03:00,2022-12-05 14:59:00,H->M,M,,,0,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-05 14:59:00,2022-12-05 15:17:00,M->M,M,,,0,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-05 15:17:00,2022-12-07 11:49:00,M->H,H,,,0,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-07 11:49:00,2022-12-08 16:53:00,H->M,M,0.0,,1,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-08 16:53:00,2022-12-08 18:26:00,M->H,H,0.0,,1,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-08 18:26:00,2022-12-09 14:36:00,H->M,M,0.0,,1,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-09 14:36:00,2022-12-15 23:14:00,M->M,M,0.0,,1,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
溧阳人在珀斯,2022-12-15 23:14:00,2022-12-16 11:19:00,M->M,M,0.0,,1,0,2022Q4,11,19,9,-1.001617855221786,-0.9065849677824124,-1.0373859447709304
独立小楼99,2022-12-03 15:35:00,2022-12-04 18:49:00,H->M,M,0.0,,1,0,2022Q4,6,10,6,-1.291880137688853,-1.1228054825985176,-1.261556052434124
