time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government
2022-11-07 20:00:00,2,2,,,,,,0,,0,,0
2022-11-08 05:00:00,1,0,,,,,,0,,1,1.0,0
2022-11-08 13:00:00,1,0,,,,,,0,,1,1.0,0
2022-11-08 21:00:00,1,1,,,,,,0,,0,,0
2022-11-09 07:00:00,1,1,,,,,,0,,0,,0
2022-11-09 08:00:00,1,1,,,,,,0,,0,,0
2022-11-09 13:00:00,1,1,,,,,,0,,0,,0
2022-11-11 00:00:00,1,1,,,,,,0,,0,,0
2022-11-11 16:00:00,1,1,,,,,,0,,0,,0
2022-11-11 17:00:00,1,1,,,,,,0,,0,,0
2022-11-12 20:00:00,1,1,,,,,,0,,0,,0
2022-11-13 03:00:00,1,1,,,,,,0,,0,,0
2022-11-13 05:00:00,1,1,,,,,,0,,0,,0
2022-11-13 08:00:00,1,1,,,,,,0,,0,,0
2022-11-13 18:00:00,1,0,,,,,,0,,1,1.0,0
2022-11-14 15:00:00,1,1,,,,,,0,,0,,0
2022-11-15 00:00:00,1,1,,,,,,0,,0,,0
2022-11-15 08:00:00,1,1,,,,,,0,,0,,0
2022-11-15 09:00:00,1,1,,,,,,0,,0,,0
