user_name,n_interactions_network,n_interactions_comment,n_total_interactions,n_m,n_w,exposure_group,targets_mainstream,targets_wemedia,active_days_interaction,n_posts,active_days_post,active_days
卧龙山人168,12,0,12,0,4,wemedia_only,,中医张恒毅|中医范圣华|得意的弦小二|马宝琳谈房颤,0,0,0,0
小伍的移动面包,0,12,12,0,1,wemedia_only,,小伍的移动面包,1,1,1,1
漠宏庵,0,12,12,0,0,no_media,,,3,4,4,4
李李李2000,0,12,12,0,0,no_media,,,2,1,1,2
只爱斑比,12,0,12,0,1,wemedia_only,,曹舟力,0,1,1,1
饱乐促和谐反极端,11,1,12,1,0,mainstream_only,每日经济新闻,,10,16,16,16
世界那么大爱你那么多,12,0,12,0,1,wemedia_only,,得意的弦小二,0,0,0,0
赫尔阿柯蒂,12,0,12,0,0,no_media,,,6,0,0,6
Cherry-badboy,2,10,12,0,0,no_media,,,4,0,0,4
红杉鱼,0,12,12,0,0,no_media,,,6,0,0,6
Stella努力中,0,12,12,0,0,no_media,,,5,0,0,5
日本笑死我了,12,0,12,0,0,no_media,,,3,2,2,3
再不动脑容易痴呆,0,12,12,0,0,no_media,,,4,0,0,4
亟兮般若,7,5,12,0,0,no_media,,,4,4,4,4
游仙公安,0,12,12,4,0,mainstream_only,平安古蔺|平安绵阳|延长法院|成都高新市场监管,,4,5,4,4
泸巷酒业,0,12,12,0,0,no_media,,,1,1,1,1
沐恩,5,7,12,0,2,wemedia_only,,得意的弦小二|绛橘色的尔玉,1,2,2,2
一-芯-一-伊,0,11,11,0,0,no_media,,,2,1,1,2
我行我素1527,0,11,11,0,0,no_media,,,5,0,0,5
