user_name,out_weight,in_weight,out_neighbors,in_neighbors,total_weight
鹤翔九天9861,15,0,9,0,15
马上谈,0,15,0,15,15
怪博士李雷,0,15,0,15,15
成都商报,0,15,0,15,15
清醒梦境waiting,15,0,8,0,15
GEM鄧紫棋,0,15,0,15,15
乡野经典中医,0,14,0,14,14
Sniper-trade,14,0,2,0,14
洛爷William,0,14,0,5,14
蓝鲸财经记者工作平台,0,14,0,14,14
残云吹雨,1,13,1,12,14
福布斯中文网,0,14,0,14,14
杨逢春2015,14,0,2,0,14
世间行者本尊,14,0,2,0,14
佛心蛊虫2,13,1,11,1,14
怪手堂怪手先生彭一峰,8,6,2,2,14
上海反邪教,0,14,0,11,14
大脸古板小姐姐,14,0,9,0,14
烟雨楼百年孤独,6,8,6,8,14
冰山来客的围脖,14,0,5,0,14
青尘3141,12,2,12,2,14
快乐的葛彤,14,0,4,0,14
快乐godwin,14,0,4,0,14
理记,0,14,0,14,14
尼玛·顿珠,0,14,0,10,14
乾坤赢得一闲人,14,0,10,0,14
吉星拱照1419,13,0,9,0,13
jrry86,13,0,7,0,13
财经网,0,13,0,13,13
中国网新闻中心,0,13,0,13,13
匡宦龙缆,13,0,11,0,13
林_优里,0,13,0,11,13
Diewahne,13,0,11,0,13
DC井是,2,11,1,5,13
东方视界aqiang,13,0,6,0,13
秋分天下,13,0,6,0,13
易拉宝三号,13,0,12,0,13
泰松有极,13,0,11,0,13
贵州省凯里监狱,0,13,0,13,13
搜讯,0,13,0,13,13
李苦舟,1,12,1,11,13
Mr俞和廣,0,13,0,13,13
健康成都官微,0,13,0,13,13
新浪科技,0,13,0,13,13
芋头微波,7,6,2,6,13
老张评论,10,3,4,3,13
kiss禕吻定情_,13,0,4,0,13
白鹿视频,0,13,0,13,13
Meowskey,13,0,10,0,13
用户5371581768,13,0,8,0,13
青岛发布,2,11,1,11,13
赫尔阿柯蒂,12,0,6,0,12
知行合一_2023-3,12,0,7,0,12
攀枝花平安西区,1,11,1,11,12
有事问彭叔,0,12,0,11,12
swu宋明,0,12,0,11,12
骨科康复师吕铮,1,11,1,11,12
纶柒紗琉,6,6,1,1,12
世界那么大爱你那么多,12,0,2,0,12
圆环之手,12,0,9,0,12
石中柔55,8,4,6,4,12
牵伊伊小手,6,6,1,1,12
青龙针客,1,11,1,10,12
绿色蒲江,0,12,0,10,12
兰院长讲心理,9,3,6,2,12
叶行舟_作者大大们今天更新了吗,12,0,4,0,12
每日医学资讯,0,12,0,8,12
健康众筹王,0,12,0,1,12
薏米薏米酱_,6,6,1,1,12
