source_uid,status,n_pages,n_edges,endpoint,error
2256022655,ok,10,187,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2262834097,ok,10,188,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2273201804,ok,10,181,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2277161633,ok,8,122,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2352139601,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2355083605,ok,8,124,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2376534624,ok,7,77,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2417009792,ok,5,73,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2421358271,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
2423228220,ok,10,177,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2432322104,ok,4,39,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2514846743,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
2518353303,ok,10,196,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2590506130,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2612344003,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2632304293,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2691800121,ok,10,190,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2698315383,ok,9,137,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2711496611,ok,10,147,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2712933151,ok,10,190,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2717844212,ok,10,173,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2730158214,ok,10,187,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2765800514,ok,6,82,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2774642393,ok,10,193,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2790410454,ok,8,112,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2816272982,ok,6,92,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
